day,susceptible,infected,recovered,new_infections
1,490,10,0,0
2,489,11,0,1
3,489,11,0,0
4,488,12,0,1
5,487,13,0,1
6,487,13,0,0
7,485,15,0,2
8,484,16,0,1
9,484,16,0,0
10,484,16,0,0
11,483,17,0,1
12,481,19,0,2
13,477,23,0,4
14,474,16,10,3
15,470,19,11,4
16,465,24,11,5
17,459,29,12,6
18,449,38,13,10
19,444,43,13,5
20,431,54,15,13
21,426,58,16,5
22,421,63,16,5
23,415,69,16,6
24,404,79,17,11
25,387,94,19,17
26,367,110,23,20
27,353,121,26,14
28,333,137,30,20
29,326,139,35,7
30,321,138,41,5
31,312,137,51,9
32,301,143,56,11
33,290,141,69,11
34,284,142,74,6
35,274,147,79,10
36,265,150,85,9
37,249,155,96,16
38,226,161,113,23
39,215,152,133,11
40,208,145,147,7
41,202,131,167,6
42,195,131,174,7
43,192,129,179,3
44,188,124,188,4
45,185,116,199,3
46,179,111,210,6
47,174,110,216,5
48,169,105,226,5
49,157,108,235,12
50,152,97,251,5
51,147,79,274,5
52,141,74,285,6
53,136,72,292,5
54,124,78,298,12
55,114,81,305,10
56,107,85,308,7
57,101,87,312,6
58,94,91,315,7
59,90,89,321,4
60,87,87,326,3
61,85,84,331,2
62,79,78,343,6
63,77,75,348,2
64,70,77,353,7
65,67,74,359,3
66,62,74,364,5
67,58,66,376,4
68,58,56,386,0
69,52,55,393,6
70,49,52,399,3
71,47,47,406,2
72,47,43,410,0
73,46,41,413,1
74,45,40,415,1
75,44,35,421,1
76,43,34,423,1
77,42,28,430,1
78,41,26,433,1
79,40,22,438,1
80,39,19,442,1
81,39,19,442,0
82,39,13,448,0
83,38,11,451,1
84,38,9,453,0
85,37,10,453,1
86,37,9,454,0
87,37,8,455,0
88,37,7,456,0
89,37,6,457,0
90,36,6,458,1
91,36,5,459,0
92,35,5,460,1
93,35,4,461,0
94,35,4,461,0
95,35,4,461,0
96,34,4,462,1
97,34,4,462,0
98,33,4,463,1
99,32,5,463,1
100,30,7,463,2
